,id,date_time,lap,latitude_longitude,velocity,navigation,vehicle_id
0,21940488,2022-07-14 05:39:04,5,"(-13.5458062, -71.8807043)",19,189,SJ02
1,22109449,2022-07-14 18:50:27,5,"(-13.5551648, -71.8559218)",12,160,SJ02
2,22109536,2022-07-14 18:50:53,5,"(-13.555726, -71.855849)",7,268,SJ02
3,22109715,2022-07-14 18:51:35,5,"(-13.5554129, -71.8564888)",26,305,SJ02
4,22109747,2022-07-14 18:51:47,5,"(-13.5548726, -71.8572684)",28,307,SJ02
5,22109832,2022-07-14 18:52:14,5,"(-13.5544795, -71.8578408)",22,302,SJ02
6,22109873,2022-07-14 18:52:26,5,"(-13.5540424, -71.85861)",32,295,SJ02
7,22109920,2022-07-14 18:52:38,5,"(-13.553687, -71.8596191)",36,284,SJ02
8,22109958,2022-07-14 18:52:50,5,"(-13.5534875, -71.8607396)",37,278,SJ02
9,22110051,2022-07-14 18:53:11,5,"(-13.5533318, -71.8616429)",21,280,SJ02
10,22110086,2022-07-14 18:53:23,5,"(-13.5532222, -71.8625295)",34,278,SJ02
11,22110122,2022-07-14 18:53:35,5,"(-13.5530344, -71.8637114)",34,279,SJ02
12,22110177,2022-07-14 18:53:47,5,"(-13.5528884, -71.8646572)",35,278,SJ02
13,22110232,2022-07-14 18:54:02,5,"(-13.5527235, -71.8655162)",17,283,SJ02
14,22110275,2022-07-14 18:54:17,5,"(-13.5525393, -71.8662961)",29,283,SJ02
15,22110325,2022-07-14 18:54:29,5,"(-13.5523362, -71.8671538)",19,285,SJ02
16,22110418,2022-07-14 18:54:58,5,"(-13.5521496, -71.867824)",20,284,SJ02
17,22110460,2022-07-14 18:55:10,5,"(-13.5519334, -71.868697)",33,282,SJ02
18,22110501,2022-07-14 18:55:22,5,"(-13.5516827, -71.8697863)",37,285,SJ02
19,22110604,2022-07-14 18:55:51,5,"(-13.5514852, -71.8705412)",18,284,SJ02
