,id,date_time,lap,latitude_longitude,velocity,navigation,vehicle_id_id,d_stop,id_stop,time_travel
0,21944055,2022-07-14 06:14:00,0,"(-13.5522672, -71.8673653)",17,102,SJ07,7.85,38,0
1,21945647,2022-07-14 06:24:31,1,"(-13.5522946, -71.8673761)",15,278,SJ07,4.89,187,0 days 00:10:31
2,21945772,2022-07-14 06:25:11,1,"(-13.5515776, -71.8702452)",17,286,SJ07,4.03,39,0 days 00:00:40
3,21945932,2022-07-14 06:26:19,1,"(-13.5505096, -71.8744038)",26,284,SJ07,10.94,185,0 days 00:01:08
4,21946037,2022-07-14 06:26:51,1,"(-13.5499653, -71.8763163)",18,284,SJ07,3.8,184,0 days 00:00:32
5,21946142,2022-07-14 06:27:33,1,"(-13.5492052, -71.8787996)",28,289,SJ07,18.38,42,0 days 00:00:42
6,21946338,2022-07-14 06:28:44,1,"(-13.5485635, -71.8812462)",28,283,SJ07,14.25,181,0 days 00:01:11
7,21946414,2022-07-14 06:29:08,1,"(-13.547809, -71.8839344)",38,289,SJ07,17.9,46,0 days 00:00:24
8,21946576,2022-07-14 06:30:03,1,"(-13.5470735, -71.88672)",37,287,SJ07,5.16,178,0 days 00:00:55
9,21946848,2022-07-14 06:31:43,1,"(-13.5442233, -71.8879618)",20,283,SJ07,8.68,48,0 days 00:01:40
10,21947468,2022-07-14 06:35:05,1,"(-13.5441952, -71.8959262)",20,299,SJ07,0.9,52,0 days 00:03:22
11,21947600,2022-07-14 06:35:49,1,"(-13.5426949, -71.8980298)",15,300,SJ07,14.27,53,0 days 00:00:44
12,21947787,2022-07-14 06:37:02,1,"(-13.5379388, -71.904711)",50,303,SJ07,4.26,57,0 days 00:01:13
13,21948175,2022-07-14 06:39:21,1,"(-13.5334172, -71.9115976)",10,292,SJ07,17.87,60,0 days 00:02:19
14,21948362,2022-07-14 06:40:31,1,"(-13.5315276, -71.9162222)",11,251,SJ07,16.97,62,0 days 00:01:10
15,21948594,2022-07-14 06:41:45,1,"(-13.532785, -71.9222855)",44,264,SJ07,8.59,65,0 days 00:01:14
