,end_stop,linkref,id,date_time,lap,latitude_longitude,velocity,navigation,vehicle_id,time_travel
0,36,0:36,21945179.0,2022-07-14 06:21:36,1.0,"(-13.5547807, -71.8574136)",35.0,305.0,SJ07,53.0
1,37,36:37,21945386.0,2022-07-14 06:22:56,1.0,"(-13.5533138, -71.8619099)",20.0,274.0,SJ07,80.0
2,38,37:38,21945647.0,2022-07-14 06:24:31,1.0,"(-13.5522946, -71.8673761)",15.0,278.0,SJ07,95.0
3,39,38:39,21945772.0,2022-07-14 06:25:11,1.0,"(-13.5515776, -71.8702452)",17.0,286.0,SJ07,40.0
4,40,39:40,,,,,,,,
5,41,40:41,21946037.0,2022-07-14 06:26:51,1.0,"(-13.5499653, -71.8763163)",18.0,284.0,SJ07,100.0
6,42,41:42,21946142.0,2022-07-14 06:27:33,1.0,"(-13.5492052, -71.8787996)",28.0,289.0,SJ07,42.0
7,43,42:43,21946306.0,2022-07-14 06:28:32,1.0,"(-13.5487861, -71.8803636)",26.0,282.0,SJ07,59.0
8,44,43:44,21946338.0,2022-07-14 06:28:44,1.0,"(-13.5485635, -71.8812462)",28.0,283.0,SJ07,12.0
9,45,44:45,,,,,,,,
10,46,45:46,21946414.0,2022-07-14 06:29:08,1.0,"(-13.547809, -71.8839344)",38.0,289.0,SJ07,24.0
11,47,46:47,21946576.0,2022-07-14 06:30:03,1.0,"(-13.5470735, -71.88672)",37.0,287.0,SJ07,55.0
12,48,47:48,21946848.0,2022-07-14 06:31:43,1.0,"(-13.5442233, -71.8879618)",20.0,283.0,SJ07,100.0
13,49,48:49,21947037.0,2022-07-14 06:32:44,1.0,"(-13.5464998, -71.8890522)",16.0,280.0,SJ07,61.0
14,50,49:50,21947258.0,2022-07-14 06:33:55,1.0,"(-13.5457303, -71.8914458)",19.0,279.0,SJ07,71.0
15,51,50:51,,,,,,,,
16,52,51:52,21947468.0,2022-07-14 06:35:05,1.0,"(-13.5441952, -71.8959262)",20.0,299.0,SJ07,70.0
