"number","id","name","latitude","longitude","navigation"
0,38,Ccollana,-13.552296,-71.867299,283
1,39,Puente Huaccoto,-13.551592,-71.870211,283
2,40,Kayra,-13.55064,-71.873952,289
3,41,Forestal,-13.55002,-71.876104,286
4,42,Grifo Tapia,-13.549282,-71.878649,284
5,43,Posta,-13.548891,-71.880079,283
6,44,Romeritos,-13.54867,-71.880937,284
7,45,Tercero,-13.548111,-71.882989,286
8,46,Medio,-13.547807,-71.8841,286
9,47,Farmacia,-13.547025,-71.887033,285
10,48,Mercado Vinocanchón,-13.544301,-71.887954,287
11,49,Control,-13.546445,-71.889234,289
12,50,San Juan,-13.545868,-71.89124,284
13,51,Penal Quencoro,-13.544875,-71.894585,298
14,52,Miraflores,-13.544194,-71.895918,304
15,53,San Martín,-13.54278,-71.897931,305
16,54,Maestro,-13.541771,-71.899347,305
17,55,Tingo,-13.540481,-71.901117,305
18,56,Teléfono,-13.539267,-71.902791,306
19,57,Universidad Andina,-13.53791,-71.904737,304
20,58,Puente Tupac Amarú,-13.536332,-71.907156,304
21,59,Cachimayo,-13.535194,-71.908894,303
22,60,Enaco,-13.533534,-71.911484,303
23,61,Sol de oro,-13.531855,-71.914049,290
24,62,San Miguel,-13.531499,-71.916068,257
25,63,Mercadillo,-13.532323,-71.919498,258
26,64,Santa Rosa,-13.532528,-71.920678,258
27,65,Camionero,-13.532773,-71.922207,265
28,66,Séptimo,-13.532077,-71.925517,283
29,67,Sexto,-13.531616,-71.927153,285
30,68,Quinto,-13.53087,-71.929766,285
31,69,Cuarto,-13.530172,-71.932231,285
32,70,Tercero,-13.529491,-71.934618,285
33,71,Segundo,-13.529119,-71.93593,283
34,72,Callejon,-13.528499,-71.938132,283
35,73,Primero,-13.528034317982288,-71.9397604003724,288
36,74,Santa Úrsula,-13.527612,-71.942894,275
37,75,Marcavalle,-13.527320403322385,-71.94548004014358,277
38,76,Magisterio,-13.526665,-71.94836,288
39,77,Seminario,-13.525938,-71.950723,288
40,78,Prado,-13.525218,-71.953102,288
41,79,Hospital regional,-13.524326,-71.95601,286
42,80,"Puerta Universidad, UNSAAC",-13.5233343702016,-71.9592337215042,290
43,81,Amauta,-13.522356,-71.962412,285
44,82,Servicentro,-13.521623,-71.964805,285
45,83,"Colegio, Garcilaso",-13.521125,-71.9665,289
46,84,Colegio Clorinda,-13.520324,-71.96999,281
47,85,Mercado Wuanchaq,-13.522018,-71.972086,176
48,86,Paccha,-13.52332654666904,-71.97199298978805,179
49,87,Estación,-13.525732,-71.972128,158
50,88,Gradas,-13.526199,-71.972825,281
51,89,Puente Grau,-13.524921,-71.976784,290
52,90,Belén,-13.523548,-71.979613,292
53,91,"Centro comercial, Paraíso",-13.522575,-71.981638,292
54,92,Puente Santiago,-13.522918262343547,-71.98268197179704,227
55,93,Plaza Santiago,-13.525261,-71.983584,200
56,437,Semáforo,-13.526831822971335,-71.984183167478,200
57,95,Entrada Zarzuela,-13.527847,-71.982403,204
58,96,Puente Zarzuela,-13.528074,-71.983592,260
59,97,Primero de Mayo,-13.529492,-71.983145,163
60,98,Pegaso,-13.530963971872898,-71.9826585087145,153
61,99,Colegio,-13.530717,-71.981741,71
62,100,Esquina,-13.530381,-71.979686,190
63,101,Desvio,-13.533148,-71.98055,210
64,102,Colegio,-13.535568,-71.980475,155
65,103,Mercado,-13.536403,-71.980175,159
66,104,Puerto,-13.537889,-71.980309,206
67,105,Gradas,-13.539368,-71.981025,201
68,106,Esquina,-13.540244,-71.981308,190
69,107,Salcantay,-13.541008,-71.981506,208
70,108,Puente,-13.542014,-71.982186,201
71,109,Grifo entrada,-13.542968,-71.981952,198
72,110,Esquina,-13.544437,-71.982087,170
73,111,Subida,-13.546051,-71.984242,222
74,112,Primero,-13.546996,-71.984883,216
75,113,Segundo,-13.547528,-71.985248,221
76,114,Reservorio,-13.54966,-71.988003,225
77,115,Cuarto,-13.550408,-71.98888,230
78,116,Quinto,-13.550841,-71.989448,203
79,117,Sexto,-13.551707,-71.99095,53
80,118,Quinto,-13.550876,-71.98953,53
81,119,Segundo,-13.548148,-71.985959,53
82,120,Subida,-13.54645,-71.984517,28
83,121,Esquina,-13.54457,-71.982029,350
84,122,Grifo,-13.542888,-71.981941,16
85,123,Puente,-13.54212,-71.982241,6
86,124,Salcantay,-13.541112,-71.981584,30
87,125,Gradas,-13.539387,-71.981036,16
88,126,Puerto,-13.537575,-71.980133,26
89,127,Mercado,-13.536392,-71.980144,330
90,128,Colegio,-13.535254,-71.980511,340
91,129,Desvío,-13.5324955,-71.980146,22
92,130,Colegio,-13.530687,-71.981597,255
