,id,date_time,time,lap,latitude,longitude,velocity,navigation,vehicle_id_id
0,21937824,2022-07-14 04:13:20,04:13:20,0,-13.5409251,-71.8859864,8,106,SJ27
1,21937826,2022-07-14 04:13:37,04:13:37,0,-13.5411098,-71.8852426,23,105,SJ27
2,21937827,2022-07-14 04:13:49,04:13:49,0,-13.5413506,-71.8844902,28,105,SJ27
3,21937828,2022-07-14 04:14:03,04:14:03,0,-13.5416027,-71.8836508,7,105,SJ27
4,21937829,2022-07-14 04:14:23,04:14:23,0,-13.5416519,-71.8829022,21,75,SJ27
5,21937832,2022-07-14 04:14:35,04:14:35,0,-13.5415097,-71.8820994,25,81,SJ27
6,21937833,2022-07-14 04:14:47,04:14:47,0,-13.5415345,-71.8812749,28,85,SJ27
7,21937835,2022-07-14 04:14:59,04:14:59,0,-13.5414288,-71.8804849,22,74,SJ27
8,21937836,2022-07-14 04:15:15,04:15:15,0,-13.5414884,-71.87999,26,179,SJ27
9,21937837,2022-07-14 04:15:27,04:15:27,0,-13.5425521,-71.8800566,33,189,SJ27
10,21937838,2022-07-14 04:15:39,04:15:39,0,-13.5434726,-71.8803311,30,211,SJ27
11,21937840,2022-07-14 04:15:51,04:15:51,0,-13.544599,-71.8805146,42,189,SJ27
12,21937841,2022-07-14 04:16:03,04:16:03,0,-13.5455512,-71.8806823,28,191,SJ27
13,21937842,2022-07-14 04:16:15,04:16:15,0,-13.5463193,-71.880811,29,189,SJ27
14,21937844,2022-07-14 04:16:32,04:16:32,0,-13.5471252,-71.8809616,24,192,SJ27
15,21937846,2022-07-14 04:16:49,04:16:49,0,-13.5475106,-71.8806124,18,96,SJ27
16,21937847,2022-07-14 04:17:02,04:17:02,0,-13.5476509,-71.8796973,30,102,SJ27
17,21937848,2022-07-14 04:17:17,04:17:17,0,-13.5479425,-71.8791423,20,192,SJ27
18,21937849,2022-07-14 04:17:35,04:17:35,0,-13.5486996,-71.8792801,16,192,SJ27
19,21937850,2022-07-14 04:17:51,04:17:51,0,-13.5492216,-71.8790047,21,101,SJ27
20,21937851,2022-07-14 04:18:03,04:18:03,0,-13.5494303,-71.8781117,39,108,SJ27
21,21937852,2022-07-14 04:18:15,04:18:15,0,-13.5498006,-71.8769244,36,107,SJ27
22,21937853,2022-07-14 04:18:27,04:18:27,0,-13.5500979,-71.8759373,31,107,SJ27
23,21937855,2022-07-14 04:18:39,04:18:39,0,-13.5503849,-71.8749222,34,106,SJ27
24,21937857,2022-07-14 04:18:51,04:18:51,0,-13.5506501,-71.8739823,31,112,SJ27
25,21937858,2022-07-14 04:19:03,04:19:03,0,-13.5508811,-71.8730145,38,105,SJ27
26,21937859,2022-07-14 04:19:15,04:19:15,0,-13.5511845,-71.871804,38,101,SJ27
27,21937862,2022-07-14 04:19:27,04:19:27,0,-13.5514644,-71.87071,33,106,SJ27
28,21937864,2022-07-14 04:19:41,04:19:41,0,-13.5516686,-71.8699299,22,102,SJ27
29,21937865,2022-07-14 04:19:53,04:19:53,0,-13.5519309,-71.8689308,41,104,SJ27
30,21937866,2022-07-14 04:20:05,04:20:05,0,-13.5522155,-71.8677292,36,104,SJ27
31,21937867,2022-07-14 04:20:20,04:20:20,0,-13.552423,-71.8668834,29,103,SJ27
32,21937869,2022-07-14 04:20:32,04:20:32,0,-13.5526917,-71.8657926,38,104,SJ27
33,21937870,2022-07-14 04:20:50,04:20:50,0,-13.552835,-71.8649261,17,98,SJ27
34,21937871,2022-07-14 04:21:03,04:21:03,0,-13.5529822,-71.8640393,33,95,SJ27
35,21937872,2022-07-14 04:21:15,04:21:15,0,-13.5531795,-71.8629567,34,101,SJ27
36,21937873,2022-07-14 04:21:27,04:21:27,0,-13.5533489,-71.8620339,27,98,SJ27
37,21937875,2022-07-14 04:21:50,04:21:50,0,-13.5533935,-71.8612766,17,95,SJ27
38,21937876,2022-07-14 04:22:04,04:22:04,0,-13.553523,-71.8604163,31,98,SJ27
39,21937878,2022-07-14 04:22:16,04:22:16,0,-13.5538386,-71.8592102,41,105,SJ27
40,21937879,2022-07-14 04:22:28,04:22:28,0,-13.5543757,-71.8580671,41,122,SJ27
41,21937881,2022-07-14 04:22:40,04:22:40,0,-13.5550732,-71.8569922,41,123,SJ27
