,id,date,time,lap,latitude,longitude,velocity,navigation,vehicle_id_id
54218,22139453,2022-07-14,21:55:38,5,-13.5532091,-71.8627694,32,98,SJ07
54268,22131333,2022-07-14,20:41:19,5,-13.5543074,-71.9908134,16,208,SJ07
54276,22139474,2022-07-14,21:55:50,5,-13.5533636,-71.8618501,24,101,SJ07
54328,22131355,2022-07-14,20:41:31,5,-13.5549493,-71.9909971,23,189,SJ07
54340,22127290,2022-07-14,20:16:27,5,-13.5227467,-71.9825803,5,241,SJ07
54350,22135431,2022-07-14,21:11:06,5,-13.5248402,-71.9780014,17,189,SJ07
54390,22139514,2022-07-14,21:56:21,5,-13.5534775,-71.8611064,23,93,SJ07
54425,22135458,2022-07-14,21:11:22,5,-13.5250544,-71.9771524,34,96,SJ07
54427,22131390,2022-07-14,20:41:43,5,-13.5556182,-71.9912603,24,208,SJ07
54444,22139532,2022-07-14,21:56:33,5,-13.5536064,-71.8601148,37,98,SJ07
54473,22139544,2022-07-14,21:56:45,5,-13.5539088,-71.8589596,39,109,SJ07
54519,22139560,2022-07-14,21:56:57,5,-13.554424,-71.8579934,23,126,SJ07
54569,22135511,2022-07-14,21:11:34,5,-13.5252626,-71.9762979,20,103,SJ07
54575,22135514,2022-07-14,21:11:46,5,-13.5255557,-71.9753233,41,107,SJ07
54584,22135518,2022-07-14,21:11:58,5,-13.525987,-71.9739527,46,106,SJ07
54621,22139599,2022-07-14,21:57:41,5,-13.5543797,-71.8580352,14,299,SJ07
54644,22131469,2022-07-14,20:42:18,5,-13.556058,-71.9915476,6,71,SJ07
54661,22139613,2022-07-14,21:57:54,5,-13.5540072,-71.8587254,29,293,SJ07
54698,22139628,2022-07-14,21:58:06,5,-13.553676,-71.8596772,35,283,SJ07
54704,22135561,2022-07-14,21:12:20,5,-13.5262665,-71.9731012,20,107,SJ07
54736,22139638,2022-07-14,21:58:18,5,-13.5534962,-71.8607923,33,278,SJ07
54794,22135592,2022-07-14,21:12:32,5,-13.5266014,-71.9722837,32,120,SJ07
54816,22139668,2022-07-14,21:58:43,5,-13.5533828,-71.8615756,14,274,SJ07
54851,22119336,2022-07-14,19:35:42,5,-13.537153,-71.9057687,25,328,SJ07
54902,22139701,2022-07-14,21:59:01,5,-13.5532711,-71.8623165,25,279,SJ07
54948,22139720,2022-07-14,21:59:13,5,-13.5531242,-71.8632863,34,278,SJ07
54967,22127519,2022-07-14,20:17:51,5,-13.5232144,-71.9829084,8,201,SJ07
55014,22139741,2022-07-14,21:59:25,5,-13.552964,-71.8643712,35,281,SJ07
55033,22115335,2022-07-14,19:15:26,5,-13.5558768,-71.8565565,8,273,SJ07
55062,22139759,2022-07-14,21:59:40,5,-13.5528062,-71.8652705,13,278,SJ07
55085,22127560,2022-07-14,20:18:08,5,-13.523891,-71.9830663,17,191,SJ07
55133,22139783,2022-07-14,22:00:00,5,-13.5526177,-71.8660717,25,284,SJ07
55160,22139792,2022-07-14,22:00:12,5,-13.5524194,-71.8668943,27,283,SJ07
55204,22139806,2022-07-14,22:00:27,5,-13.5522207,-71.8676845,15,282,SJ07
55240,22139819,2022-07-14,22:00:41,5,-13.5520455,-71.8684347,25,283,SJ07
55278,22139833,2022-07-14,22:00:53,5,-13.5518388,-71.8692604,29,284,SJ07
55301,22135773,2022-07-14,21:13:54,5,-13.5271122,-71.971608,17,128,SJ07
55305,22139843,2022-07-14,22:01:05,5,-13.5516258,-71.8701078,24,283,SJ07
55357,22139859,2022-07-14,22:01:21,5,-13.5514393,-71.8708538,25,283,SJ07
55379,22127659,2022-07-14,20:18:40,5,-13.5246342,-71.9833195,14,202,SJ07
55399,22135801,2022-07-14,21:14:08,5,-13.5274137,-71.9710294,6,24,SJ07
55410,22139873,2022-07-14,22:01:33,5,-13.5512215,-71.8717293,30,282,SJ07
55438,22119538,2022-07-14,19:36:42,5,-13.5361065,-71.9080251,27,270,SJ07
55453,22139888,2022-07-14,22:01:45,5,-13.5509798,-71.8727015,31,287,SJ07
55470,22123620,2022-07-14,19:57:04,5,-13.5230294,-71.9609614,0,76,SJ07
55495,22139904,2022-07-14,22:02:00,5,-13.5505714,-71.8733415,11,15,SJ07
55532,22135848,2022-07-14,21:14:36,5,-13.5268003,-71.9713848,26,325,SJ07
55606,22135874,2022-07-14,21:14:48,5,-13.5260923,-71.9718282,25,327,SJ07
55668,22115554,2022-07-14,19:16:31,5,-13.5535153,-71.8582473,32,322,SJ07
55852,22135966,2022-07-14,21:15:38,5,-13.5254723,-71.9722121,22,332,SJ07
55916,22135987,2022-07-14,21:15:50,5,-13.5246243,-71.9724993,30,345,SJ07
55926,22127851,2022-07-14,20:19:47,5,-13.5252486,-71.9835731,5,200,SJ07
55975,22136008,2022-07-14,21:16:02,5,-13.5237867,-71.9727077,20,346,SJ07
56133,22136071,2022-07-14,21:16:29,5,-13.5230618,-71.9728554,9,347,SJ07
56152,22119800,2022-07-14,19:37:58,5,-13.5333025,-71.911449,3,330,SJ07
56182,22123880,2022-07-14,19:58:24,5,-13.5220778,-71.9637015,11,253,SJ07
56190,22115745,2022-07-14,19:17:37,5,-13.5527869,-71.8616745,18,352,SJ07
56229,22132036,2022-07-14,20:43:00,5,-13.5537726,-71.9905083,31,30,SJ07
56241,22132040,2022-07-14,20:43:12,5,-13.5529532,-71.9901322,28,24,SJ07
56247,22132041,2022-07-14,20:43:24,5,-13.5522558,-71.9896801,25,54,SJ07
56248,22127973,2022-07-14,20:20:29,5,-13.5256285,-71.9832021,23,113,SJ07
56258,22132045,2022-07-14,20:43:36,5,-13.5527281,-71.9892361,25,155,SJ07
56270,22132048,2022-07-14,20:43:48,5,-13.5528309,-71.9885156,22,60,SJ07
56281,22132051,2022-07-14,20:45:25,5,-13.5521766,-71.9882624,14,14,SJ07
