,id,date_time,lap,latitude_longitude,velocity,navigation,vehicle_id
0,21984179,2022-07-14 09:22:59,2,"(-13.5546011, -71.8563261)",4,358,SJ16
1,21984309,2022-07-14 09:23:29,2,"(-13.5550291, -71.8558997)",12,157,SJ16
2,21984396,2022-07-14 09:23:54,2,"(-13.5557389, -71.8557941)",12,252,SJ16
3,21984448,2022-07-14 09:24:11,2,"(-13.5553884, -71.8564799)",29,307,SJ16
4,21984489,2022-07-14 09:24:23,2,"(-13.5547655, -71.8573134)",31,304,SJ16
5,21984596,2022-07-14 09:24:50,2,"(-13.5542265, -71.8580971)",16,300,SJ16
6,21984644,2022-07-14 09:25:03,2,"(-13.5537292, -71.8591196)",39,289,SJ16
7,21984696,2022-07-14 09:25:15,2,"(-13.5535367, -71.8605435)",47,277,SJ16
8,21984743,2022-07-14 09:25:27,2,"(-13.5533155, -71.8617337)",34,279,SJ16
9,21984795,2022-07-14 09:25:39,2,"(-13.5531675, -71.8627038)",36,280,SJ16
10,21984842,2022-07-14 09:25:51,2,"(-13.5529973, -71.8638273)",33,277,SJ16
11,21984892,2022-07-14 09:26:03,2,"(-13.55283, -71.8648752)",30,279,SJ16
12,21984983,2022-07-14 09:26:22,2,"(-13.5526975, -71.8656397)",12,280,SJ16
13,21985039,2022-07-14 09:26:43,2,"(-13.5525546, -71.8664225)",15,283,SJ16
14,21985113,2022-07-14 09:27:00,2,"(-13.5523081, -71.8671951)",15,284,SJ16
15,21985237,2022-07-14 09:27:29,2,"(-13.5521751, -71.8679439)",23,285,SJ16
16,21985288,2022-07-14 09:27:41,2,"(-13.5519102, -71.8689193)",35,285,SJ16
17,21985330,2022-07-14 09:27:53,2,"(-13.551675, -71.8699014)",29,285,SJ16
18,21985414,2022-07-14 09:28:16,2,"(-13.5514709, -71.8706265)",22,285,SJ16
19,21985466,2022-07-14 09:28:36,2,"(-13.5513403, -71.8713753)",27,283,SJ16
20,21985524,2022-07-14 09:28:48,2,"(-13.5510706, -71.8724384)",39,283,SJ16
21,21985633,2022-07-14 09:29:16,2,"(-13.5507929, -71.8734236)",11,284,SJ16
22,21985741,2022-07-14 09:29:44,2,"(-13.5505593, -71.8741918)",21,287,SJ16
