WKT,number,id,name,navigation,latitude,longitude,radio
"POINT (-71.856025 -13.5549784)",0.0,0.0,inicio,159.0,-13.5549784,-71.856025,30.0
"POINT (-71.8573001 -13.5548123)",1.0,36.0,primer stop,304.0,-13.5548123,-71.8573001,18.0
"POINT (-71.8619442 -13.5532944)",2.0,37.0,segundo stop,281.0,-13.5532944,-71.8619442,13.0
"POINT (-71.867299 -13.552296)",3.0,38.0,Ccollana,283.0,-13.552296,-71.867299,9.0
"POINT (-71.870211 -13.551592)",4.0,39.0,Puente Huaccoto,283.0,-13.551592,-71.870211,10.0
"POINT (-71.8739628 -13.5506192)",5.0,40.0,Kayra,289.0,-13.5506192,-71.8739628,10.0
"POINT (-71.876104 -13.55002)",6.0,41.0,Forestal,286.0,-13.55002,-71.876104,8.0
"POINT (-71.8786423 -13.5492585)",7.0,42.0,Grifo Tapia,284.0,-13.5492585,-71.8786423,11.0
"POINT (-71.8800307 -13.5488597)",8.0,43.0,Posta,283.0,-13.5488597,-71.8800307,15.0
"POINT (-71.880933 -13.548657)",9.0,44.0,Romeritos,284.0,-13.548657,-71.880933,7.0
"POINT (-71.882989 -13.5480927)",10.0,45.0,Tercero,286.0,-13.5480927,-71.882989,7.0
"POINT (-71.884096 -13.5477861)",11.0,46.0,Medio,286.0,-13.5477861,-71.884096,7.0
"POINT (-71.8870276 -13.5470041)",12.0,47.0,Farmacia,285.0,-13.5470041,-71.8870276,7.0
"POINT (-71.8879486 -13.5442697)",13.0,48.0,Mercado Vinocanchón,287.0,-13.5442697,-71.8879486,15.0
"POINT (-71.8892045 -13.5464137)",14.0,49.0,Control,289.0,-13.5464137,-71.8892045,14.0
"POINT (-71.8912293 -13.5458289)",15.0,50.0,San Juan,284.0,-13.5458289,-71.8912293,10.0
"POINT (-71.8941424 -13.5450002)",16.0,51.0,Penal Quencoro,298.0,-13.5450002,-71.8941424,20.0
"POINT (-71.8958416 -13.5441901)",17.0,52.0,Miraflores,304.0,-13.5441901,-71.8958416,11.0
"POINT (-71.897931 -13.54278)",18.0,53.0,San Martín,305.0,-13.54278,-71.897931,7.0
"POINT (-71.899292 -13.5417514)",19.0,54.0,Maestro,305.0,-13.5417514,-71.899292,10.0
"POINT (-71.9010634 -13.5404823)",20.0,55.0,Tingo,305.0,-13.5404823,-71.9010634,10.0
"POINT (-71.9027266 -13.5392748)",21.0,56.0,Teléfono,306.0,-13.5392748,-71.9027266,12.0
"POINT (-71.9046391 -13.5379256)",22.0,57.0,Universidad Andina,304.0,-13.5379256,-71.9046391,25.0
"POINT (-71.9060883 -13.5369807)",23.0,58.0,Grifo,304.0,-13.5369807,-71.9060883,10.0
"POINT (-71.9071359 -13.5363072)",24.0,59.0,Puente Tupac Amarú,304.0,-13.5363072,-71.9071359,10.0
"POINT (-71.9088457 -13.5351731)",25.0,60.0,Cachimayo,303.0,-13.5351731,-71.9088457,10.0
"POINT (-71.9114518 -13.5334897)",26.0,61.0,Enaco,303.0,-13.5334897,-71.9114518,13.0
"POINT (-71.9140088 -13.5318459)",27.0,62.0,Sol de oro,290.0,-13.5318459,-71.9140088,10.0
"POINT (-71.9161418 -13.5315133)",28.0,63.0,San Miguel,257.0,-13.5315133,-71.9161418,13.0
"POINT (-71.9194658 -13.5322695)",29.0,64.0,Mercadillo,258.0,-13.5322695,-71.9194658,10.0
"POINT (-71.9206404 -13.5324745)",30.0,65.0,Santa Rosa,258.0,-13.5324745,-71.9206404,10.0
"POINT (-71.9223518 -13.5327639)",31.0,66.0,Camionero,265.0,-13.5327639,-71.9223518,11.0
"POINT (-71.9255653 -13.532034)",32.0,67.0,Séptimo,283.0,-13.532034,-71.9255653,13.0
"POINT (-71.927145 -13.5315821)",33.0,68.0,Sexto,285.0,-13.5315821,-71.927145,10.0
"POINT (-71.9297875 -13.5308491)",34.0,69.0,Quinto,285.0,-13.5308491,-71.9297875,10.0
"POINT (-71.9321492 -13.5301642)",35.0,70.0,Cuarto,285.0,-13.5301642,-71.9321492,16.0
"POINT (-71.9346703 -13.5294454)",36.0,71.0,Tercero,285.0,-13.5294454,-71.9346703,12.0
"POINT (-71.9358375 -13.529132)",37.0,72.0,Segundo,283.0,-13.529132,-71.9358375,12.0
"POINT (-71.9381347 -13.5284625)",38.0,73.0,Callejon,283.0,-13.5284625,-71.9381347,12.0
"POINT (-71.9398556 -13.5279965)",39.0,74.0,Primero,288.0,-13.5279965,-71.9398556,15.0
"POINT (-71.942894 -13.527612)",40.0,75.0,Santa Úrsula,275.0,-13.527612,-71.942894,16.0
"POINT (-71.9456249 -13.5272735)",41.0,76.0,Marcavalle,277.0,-13.5272735,-71.9456249,16.0
"POINT (-71.9482608 -13.5266272)",42.0,77.0,Magisterio,288.0,-13.5266272,-71.9482608,15.0
"POINT (-71.9507565 -13.5258572)",43.0,78.0,Seminario,288.0,-13.5258572,-71.9507565,20.0
"POINT (-71.952992 -13.5252024)",44.0,79.0,Prado,288.0,-13.5252024,-71.952992,20.0
"POINT (-71.9559926 -13.5242673)",45.0,80.0,Hospital regional,286.0,-13.5242673,-71.9559926,20.0
"POINT (-71.9591304 -13.5233344)",46.0,81.0,Puerta Universidad UNSAAC,290.0,-13.5233344,-71.9591304,25.0
"POINT (-71.9632998 -13.5220874)",47.0,82.0,Amauta,285.0,-13.5220874,-71.9632998,15.0
"POINT (-71.9646561 -13.5216491)",48.0,83.0,Servicentro,285.0,-13.5216491,-71.9646561,13.0
"POINT (-71.9662773 -13.5211993)",49.0,84.0,Colegio Garcilaso,289.0,-13.5211993,-71.9662773,20.0
"POINT (-71.9700745 -13.5202914)",50.0,85.0,Colegio Clorinda,281.0,-13.5202914,-71.9700745,15.0
"POINT (-71.9720994 -13.5220076)",51.0,86.0,Mercado Wuanchaq,176.0,-13.5220076,-71.9720994,13.0
